,precision,recall,f1-score,support
0,0.49841938883034775,0.473,0.4853771164699846,1000.0
1,0.7598784194528876,0.75,0.754906894816306,1000.0
2,0.43243243243243246,0.432,0.43221610805402705,1000.0
3,0.4142705005324814,0.389,0.4012377514182568,1000.0
4,0.4109347442680776,0.466,0.43673851921274603,1000.0
5,0.8120879120879121,0.739,0.7738219895287958,1000.0
6,0.28875739644970416,0.244,0.26449864498644987,1000.0
7,0.6389132340052586,0.729,0.6809901914992994,1000.0
8,0.37003968253968256,0.373,0.3715139442231076,1000.0
9,0.5266544117647058,0.573,0.5488505747126436,1000.0
accuracy,0.5168,0.5168,0.5168,0.5168
macro avg,0.515238812236349,0.5167999999999999,0.5150151734921617,10000.0
weighted avg,0.515238812236349,0.5168,0.5150151734921616,10000.0
