,precision,recall,f1-score,support
0,0.0,0.0,0.0,12.0
1,0.0,0.0,0.0,14.0
2,0.0,0.0,0.0,10.0
3,0.06666666666666667,0.1,0.08,10.0
4,0.03333333333333333,0.041666666666666664,0.037037037037037035,24.0
5,0.0,0.0,0.0,7.0
6,0.14285714285714285,0.1,0.11764705882352941,10.0
7,0.1232876712328767,0.10588235294117647,0.11392405063291139,85.0
8,0.0,0.0,0.0,8.0
9,0.020833333333333332,0.02040816326530612,0.020618556701030927,49.0
10,0.25,0.08333333333333333,0.125,12.0
11,0.19540229885057472,0.2236842105263158,0.2085889570552147,152.0
12,0.043478260869565216,0.02564102564102564,0.03225806451612904,39.0
13,0.041666666666666664,0.047619047619047616,0.044444444444444446,21.0
14,0.0,0.0,0.0,5.0
15,0.0,0.0,0.0,15.0
16,0.0,0.0,0.0,22.0
17,0.0,0.0,0.0,5.0
18,0.0,0.0,0.0,12.0
19,0.0,0.0,0.0,16.0
20,0.0,0.0,0.0,19.0
21,0.0,0.0,0.0,6.0
22,0.0,0.0,0.0,15.0
23,0.0,0.0,0.0,13.0
24,0.0,0.0,0.0,11.0
25,0.06666666666666667,0.041666666666666664,0.05128205128205127,24.0
26,0.0,0.0,0.0,6.0
27,0.18181818181818182,0.18181818181818182,0.18181818181818182,11.0
28,0.0,0.0,0.0,9.0
29,0.11764705882352941,0.2,0.14814814814814817,10.0
30,0.0,0.0,0.0,13.0
31,0.0,0.0,0.0,3.0
32,0.0,0.0,0.0,9.0
33,0.0,0.0,0.0,13.0
34,0.0,0.0,0.0,4.0
35,0.0,0.0,0.0,15.0
36,0.0,0.0,0.0,8.0
37,0.0,0.0,0.0,7.0
38,0.07692307692307693,0.08333333333333333,0.08,12.0
39,0.037037037037037035,0.046511627906976744,0.041237113402061855,43.0
40,0.0,0.0,0.0,14.0
41,0.0,0.0,0.0,20.0
accuracy,0.07134071340713408,0.07134071340713408,0.07134071340713408,0.07134071340713408
macro avg,0.0332766046447298,0.030989633564715006,0.03052389675858905,813.0
weighted avg,0.0700608427877874,0.07134071340713408,0.06937463587904864,813.0
